week,TropSales,FolridaSales,MMSales,PLSales,PriceTrop,PriceFlorida,PriceMM,PricePL
44,34048,960,5120,3456,2.29,2.46,2.26,2.19
45,14848,1408,5696,30976,3.39,2.35,2.26,1.59
46,15424,704,5440,4416,3.39,2.35,2.26,1.59
47,64000,1664,3520,2688,1.99,2.35,2.26,2.09
48,14528,14464,19584,13376,1.99,1.76,1.69,1.41
49,7040,2368,7040,17856,3.39,2.35,2.26,1.29
50,15168,2304,39296,4096,3.39,2.35,1.69,1.89
51,53056,1024,11264,2496,1.99,2.35,1.69,1.89
52,9536,2496,4864,14976,1.99,2.35,2.26,1.59
53,11904,11328,5184,6464,1.99,2.35,2.26,1.59
54,11136,56704,3392,3648,3.39,1.99,2.26,1.89
55,37568,1472,3712,52928,2.19,2.35,2.26,0.99
56,13376,4800,3904,24448,2.19,2.35,2.26,0.99
57,6144,5696,8960,20800,3.39,2.35,2.26,1.49
58,7104,2496,83072,5312,3.39,2.35,1.29,1.49
59,5696,23872,4160,15104,3.39,1.99,2.26,1.39
60,63168,2880,4928,13120,1.99,2.35,2.26,1.39
61,7680,6208,34304,12288,3.39,1.99,1.99,1.39
62,11136,48256,6720,8064,2.731821,1.69,1.951833,1.59
63,8384,12160,12608,9728,3.206286,1.752596,1.850851,1.59
64,7616,2560,11456,9984,2.97,2.28649,1.79,1.54
65,9216,3584,9408,28608,2.94,2.25,1.899786,1.49
66,8512,2560,192128,5760,2.94,2.25,1.69,1.52
67,8128,2816,9216,3840,2.94,2.25,2.26,1.89
68,8960,2496,48704,2048,2.94,2.25,1.49,1.82
69,13248,71232,4544,3392,2.96,1.97,2.224202,1.69
70,10624,49536,8000,3968,2.99,1.97,2.074414,1.73
71,57408,4160,11136,4352,1.99,2.127062,1.99,1.89
72,11200,4864,10496,19264,2.724923,1.99,1.99,1.5
73,8576,6336,7360,30784,2.99,1.99,2.079601,1.59
74,8704,5696,4608,31040,2.99,1.85677,2.26,1.59
75,12032,41280,6272,9856,2.744371,1.69,2.123907,1.6
76,19008,22912,17216,20672,2.39,1.729896,1.99,1.69
77,18432,22272,18944,11392,2.346565,1.545548,1.99,1.69
78,16576,63360,7424,2304,2.29,1.49,2.14734,1.71
79,10304,32448,14208,4928,2.49,1.549137,2.49,1.77
80,6272,8448,11392,15424,2.99,2.35,2.49,1.47
81,9536,12736,4160,65280,2.99,1.627986,2.551961,1.29
82,8448,81792,5184,10880,2.99,1.49,2.36557,1.32
83,34240,4800,6400,17536,1.99,1.743646,1.99,1.07
84,7040,1664,123968,7296,2.99,2.35,1.99,0.99
85,74752,1216,14400,4480,1.99,2.35,2.081529,1.23
86,41792,2304,7744,58496,1.79,2.35,2.303965,1.39
87,83072,896,18560,8384,1.79,2.577428,1.99,1.44
88,35712,4096,7040,34432,1.914385,2.241511,2.150376,1.59
89,21760,171264,5312,5696,2.745378,1.99,2.341403,1.67
90,39296,5184,22976,3648,2.5,2.040046,1.99,1.89
91,11904,1472,7360,7680,2.635816,2.89,2.218351,1.45
92,11392,2112,5952,70016,2.99,2.89,2.66,1.29
93,12800,1344,26880,9536,2.605144,2.505642,1.99,1.39
94,50624,10176,4928,6784,2.24,2.16,2.66,1.89
95,11840,1408,6976,9216,2.99,2.89,2.66,1.93
96,12096,1856,6528,5696,2.99,2.89,2.66,1.99
97,10368,704,32192,24384,2.99,2.89,1.99,1.69
98,12224,13952,5248,77824,2.99,2.79,2.666106,1.69
99,98624,6272,5120,38720,2.49,2.830035,2.69,1.72
100,27840,1024,6400,13888,2.214379,2.89,2.69,1.98
101,81088,1792,4864,3520,1.99,2.89,2.69,1.99
102,10688,49344,6656,3008,2.99,1.99,2.421245,1.99
103,24512,7488,18368,29184,2.69,2.054468,2.006055,1.41
104,8640,40064,6976,15744,2.99,1.89,2.342163,1.39
105,11456,2368,8128,6656,2.99,2.89,2.69,1.89
106,6080,1152,41152,9024,2.99,2.89,2.29,1.69
107,9664,2112,6400,48384,2.955968,2.89,2.679811,1.49
108,13120,90240,4992,4992,2.89,2.59,2.65,1.89
109,8448,3904,76416,4928,2.99,2.376014,1.99,1.89
110,27072,6720,29632,17728,2.79,1.99,1.958322,1.36
111,14784,50816,13504,11712,2.747806,1.99,1.69,1.06
112,45632,9472,10240,2944,2.49,2.033488,1.804028,2.03
113,16000,2304,42496,1536,2.634237,2.825287,1.99,2.13
114,10048,6464,6336,4416,3.05,2.036624,2.577754,1.77
115,22976,1920,5632,46080,2.79,2.73293,2.532556,1.49
116,10496,960,65024,5056,2.989058,2.77,2.19,1.72
