inst#,actual,predicted,error,probability, distribution
161,1:00,1:00,,*0.999,0.001
162,1:00,1:00,,*1,0
163,1:00,2:01,+,0,*1
164,1:00,1:00,,*1,0
165,1:00,1:00,,*0.998,0.002
166,1:00,1:00,,*1,0
167,1:00,1:00,,*1,0
168,1:00,1:00,,*1,0
169,1:00,2:01,+,0,*1
170,1:00,1:00,,*1,0
171,1:00,1:00,,*1,0
172,1:00,1:00,,*0.717,0.283
173,1:00,1:00,,*0.99,0.01
174,1:00,1:00,,*1,0
175,1:00,2:01,+,0,*1
176,1:00,1:00,,*0.998,0.002
177,1:00,1:00,,*1,0
178,1:00,1:00,,*1,0
179,1:00,1:00,,*1,0
180,1:00,1:00,,*0.969,0.031
181,1:00,1:00,,*1,0
182,1:00,1:00,,*1,0
183,1:00,1:00,,*1,0
184,1:00,1:00,,*1,0
185,1:00,2:01,+,0,*1
186,1:00,1:00,,*1,0
187,1:00,1:00,,*1,0
188,2:01,1:00,+,*0.562,0.438
189,1:00,1:00,,*1,0
190,1:00,1:00,,*1,0
191,1:00,2:01,+,0.074,*0.926
192,1:00,2:01,+,0.004,*0.996
193,1:00,2:01,+,0.224,*0.776
194,1:00,1:00,,*1,0
195,1:00,2:01,+,0.377,*0.623
196,1:00,2:01,+,0.242,*0.758
197,1:00,1:00,,*1,0
198,1:00,1:00,,*1,0
199,1:00,2:01,+,0,*1
200,1:00,1:00,,*1,0
201,1:00,1:00,,*1,0
202,1:00,1:00,,*1,0
203,1:00,1:00,,*1,0
204,1:00,1:00,,*1,0
205,1:00,1:00,,*1,0
206,1:00,1:00,,*1,0
207,1:00,1:00,,*0.919,0.081
208,1:00,1:00,,*1,0
209,1:00,1:00,,*1,0
210,1:00,1:00,,*1,0
211,1:00,1:00,,*0.988,0.012
212,1:00,1:00,,*1,0
213,1:00,1:00,,*0.989,0.011
214,1:00,1:00,,*1,0
215,1:00,1:00,,*1,0
216,1:00,1:00,,*1,0
217,1:00,1:00,,*0.767,0.233
218,1:00,1:00,,*1,0
219,1:00,1:00,,*1,0
220,1:00,1:00,,*1,0
221,1:00,1:00,,*1,0
222,1:00,1:00,,*1,0
223,1:00,1:00,,*0.997,0.003
224,1:00,1:00,,*1,0
225,1:00,1:00,,*1,0
226,1:00,1:00,,*0.545,0.455
227,1:00,1:00,,*1,0
228,1:00,1:00,,*1,0
229,1:00,2:01,+,0,*1
230,1:00,1:00,,*0.978,0.022
231,1:00,1:00,,*1,0
232,1:00,1:00,,*1,0
233,1:00,1:00,,*1,0
234,1:00,2:01,+,0,*1
235,1:00,1:00,,*1,0
236,1:00,1:00,,*1,0
237,1:00,1:00,,*1,0
238,1:00,1:00,,*1,0
239,1:00,1:00,,*1,0
240,1:00,2:01,+,0,*1
241,1:00,1:00,,*1,0
242,1:00,2:01,+,0,*1
243,1:00,1:00,,*1,0
244,1:00,1:00,,*1,0
245,1:00,1:00,,*1,0
246,1:00,2:01,+,0.001,*0.999
247,1:00,1:00,,*1,0
248,1:00,1:00,,*1,0
249,1:00,1:00,,*1,0
250,1:00,2:01,+,0.047,*0.953
251,1:00,1:00,,*1,0
252,1:00,1:00,,*0.997,0.003
253,1:00,1:00,,*0.963,0.037
254,1:00,1:00,,*1,0
255,1:00,1:00,,*1,0
256,1:00,1:00,,*1,0
257,1:00,1:00,,*1,0
258,1:00,1:00,,*0.95,0.05
259,1:00,1:00,,*1,0
260,1:00,1:00,,*1,0
261,1:00,1:00,,*0.999,0.001
262,1:00,1:00,,*1,0
263,1:00,2:01,+,0,*1
264,1:00,1:00,,*1,0
265,1:00,2:01,+,0.4,*0.6
266,1:00,1:00,,*1,0
267,1:00,2:01,+,0.009,*0.991
268,1:00,2:01,+,0.057,*0.943
269,1:00,2:01,+,0.097,*0.903
270,1:00,1:00,,*0.979,0.021
271,1:00,1:00,,*1,0
272,1:00,1:00,,*1,0
273,1:00,1:00,,*0.999,0.001
274,1:00,1:00,,*1,0
275,1:00,1:00,,*1,0
276,1:00,2:01,+,0,*1
277,1:00,2:01,+,0,*1
278,1:00,1:00,,*1,0
279,1:00,1:00,,*1,0
280,1:00,1:00,,*1,0
281,1:00,1:00,,*1,0
282,1:00,1:00,,*1,0
283,1:00,1:00,,*1,0
284,1:00,1:00,,*0.843,0.157
285,2:01,1:00,+,*1,0
286,1:00,1:00,,*0.954,0.046
287,1:00,1:00,,*1,0
288,1:00,1:00,,*1,0
289,2:01,1:00,+,*1,0
290,1:00,2:01,+,0,*1
291,1:00,1:00,,*1,0
292,1:00,1:00,,*1,0
293,1:00,2:01,+,0.011,*0.989
294,1:00,1:00,,*1,0
295,1:00,1:00,,*1,0
296,1:00,1:00,,*1,0
297,1:00,1:00,,*1,0
298,1:00,1:00,,*1,0
299,1:00,1:00,,*1,0
300,1:00,2:01,+,0.474,*0.526
301,1:00,1:00,,*1,0
302,1:00,2:01,+,0,*1
303,1:00,2:01,+,0,*1
304,1:00,1:00,,*1,0
305,1:00,1:00,,*1,0
306,1:00,1:00,,*1,0
307,1:00,1:00,,*1,0
308,1:00,1:00,,*1,0
309,1:00,1:00,,*1,0
310,1:00,1:00,,*1,0
311,1:00,2:01,+,0,*1
312,1:00,1:00,,*0.658,0.342
313,1:00,1:00,,*1,0
314,1:00,1:00,,*1,0
315,1:00,1:00,,*1,0
316,1:00,1:00,,*1,0
317,1:00,1:00,,*1,0
318,1:00,1:00,,*1,0
319,1:00,1:00,,*0.998,0.002
320,1:00,1:00,,*1,0
321,1:00,1:00,,*1,0
322,1:00,1:00,,*1,0
323,1:00,1:00,,*1,0
324,1:00,1:00,,*1,0
325,1:00,1:00,,*1,0
326,1:00,1:00,,*1,0
327,1:00,1:00,,*1,0
328,1:00,1:00,,*1,0
329,1:00,1:00,,*1,0
330,1:00,1:00,,*1,0
331,1:00,1:00,,*1,0
332,1:00,1:00,,*1,0
333,1:00,1:00,,*1,0
334,1:00,1:00,,*1,0
335,1:00,1:00,,*1,0
336,1:00,1:00,,*0.98,0.02
337,1:00,1:00,,*1,0
338,1:00,1:00,,*0.918,0.082
339,1:00,1:00,,*1,0
340,1:00,1:00,,*1,0
341,1:00,1:00,,*1,0
342,1:00,1:00,,*1,0
343,1:00,1:00,,*1,0
344,1:00,1:00,,*1,0
345,1:00,1:00,,*1,0
346,1:00,1:00,,*1,0
347,1:00,1:00,,*1,0
348,1:00,1:00,,*1,0
349,1:00,1:00,,*1,0
350,1:00,1:00,,*1,0
351,1:00,1:00,,*1,0
352,1:00,1:00,,*1,0
353,1:00,2:01,+,0.002,*0.998
354,1:00,1:00,,*1,0
355,1:00,1:00,,*1,0
356,1:00,1:00,,*1,0
357,1:00,1:00,,*1,0
358,1:00,1:00,,*0.926,0.074
359,1:00,1:00,,*1,0
360,1:00,1:00,,*1,0
361,1:00,1:00,,*1,0
362,1:00,2:01,+,0,*1
363,1:00,2:01,+,0.092,*0.908
364,1:00,1:00,,*1,0
365,1:00,1:00,,*1,0
366,1:00,1:00,,*1,0
367,1:00,1:00,,*1,0
368,1:00,1:00,,*1,0
369,1:00,1:00,,*1,0
370,1:00,1:00,,*1,0
371,1:00,2:01,+,0.213,*0.787
372,1:00,1:00,,*1,0
373,1:00,1:00,,*1,0
374,1:00,1:00,,*1,0
375,1:00,2:01,+,0,*1
376,1:00,1:00,,*1,0
377,1:00,1:00,,*1,0
378,1:00,1:00,,*0.999,0.001
379,1:00,1:00,,*1,0
380,1:00,1:00,,*0.965,0.035
381,1:00,1:00,,*1,0
382,1:00,1:00,,*1,0
383,1:00,1:00,,*0.925,0.075
384,1:00,1:00,,*1,0
385,1:00,1:00,,*1,0
386,1:00,2:01,+,0,*1
387,1:00,1:00,,*1,0
388,1:00,1:00,,*1,0
389,1:00,1:00,,*1,0
390,1:00,1:00,,*0.998,0.002
391,1:00,1:00,,*1,0
392,1:00,1:00,,*1,0
393,1:00,1:00,,*0.777,0.223
394,1:00,1:00,,*1,0
395,1:00,1:00,,*1,0
396,1:00,1:00,,*1,0
397,1:00,2:01,+,0,*1
398,1:00,1:00,,*1,0
399,1:00,1:00,,*1,0
400,1:00,1:00,,*1,0
401,1:00,2:01,+,0.484,*0.516
402,1:00,2:01,+,0,*1
403,1:00,1:00,,*0.999,0.001
404,1:00,2:01,+,0.009,*0.991
405,1:00,1:00,,*1,0
406,1:00,1:00,,*1,0
407,1:00,2:01,+,0.003,*0.997
408,1:00,1:00,,*1,0
409,1:00,1:00,,*1,0
410,1:00,1:00,,*1,0
411,1:00,1:00,,*1,0
412,1:00,1:00,,*1,0
413,1:00,1:00,,*1,0
414,2:01,1:00,+,*1,0
415,1:00,2:01,+,0,*1
416,1:00,2:01,+,0.02,*0.98
417,1:00,2:01,+,0,*1
418,1:00,1:00,,*1,0
419,1:00,2:01,+,0,*1
420,1:00,1:00,,*1,0
421,1:00,1:00,,*1,0
422,1:00,1:00,,*1,0
423,1:00,1:00,,*1,0
424,1:00,1:00,,*0.951,0.049
425,1:00,1:00,,*1,0
426,2:01,1:00,+,*1,0
427,1:00,1:00,,*1,0
428,1:00,1:00,,*1,0
429,1:00,1:00,,*1,0
430,1:00,1:00,,*1,0
431,1:00,1:00,,*1,0
432,1:00,2:01,+,0,*1
433,1:00,1:00,,*1,0
434,1:00,1:00,,*1,0
435,1:00,2:01,+,0.013,*0.987
436,1:00,1:00,,*1,0
437,1:00,1:00,,*0.993,0.007
438,1:00,1:00,,*0.999,0.001
439,1:00,1:00,,*1,0
440,1:00,1:00,,*1,0
441,1:00,1:00,,*1,0
442,1:00,1:00,,*1,0
443,1:00,1:00,,*1,0
444,1:00,1:00,,*0.646,0.354
445,1:00,2:01,+,0.005,*0.995
446,1:00,1:00,,*1,0
447,1:00,1:00,,*1,0
448,1:00,1:00,,*1,0
449,1:00,1:00,,*1,0
450,1:00,1:00,,*1,0
451,1:00,1:00,,*1,0
452,1:00,2:01,+,0.321,*0.679
453,1:00,1:00,,*1,0
454,1:00,1:00,,*1,0
455,1:00,1:00,,*1,0
456,1:00,1:00,,*1,0
457,1:00,1:00,,*0.834,0.166
458,1:00,1:00,,*1,0
459,1:00,1:00,,*1,0
460,1:00,1:00,,*0.92,0.08
461,1:00,1:00,,*1,0
462,1:00,1:00,,*1,0
463,1:00,1:00,,*0.934,0.066
464,1:00,1:00,,*1,0
465,1:00,1:00,,*1,0
466,1:00,1:00,,*1,0
467,1:00,1:00,,*1,0
468,1:00,1:00,,*1,0
469,1:00,1:00,,*1,0
470,1:00,1:00,,*1,0
471,1:00,1:00,,*1,0
472,1:00,1:00,,*1,0
473,1:00,1:00,,*1,0
474,1:00,1:00,,*1,0
475,1:00,2:01,+,0,*1
476,1:00,1:00,,*1,0
477,1:00,1:00,,*1,0
478,1:00,1:00,,*1,0
479,1:00,2:01,+,0.002,*0.998
480,1:00,2:01,+,0,*1
481,1:00,1:00,,*1,0
482,1:00,1:00,,*1,0
483,1:00,1:00,,*1,0
484,1:00,1:00,,*1,0
485,1:00,1:00,,*1,0
486,1:00,2:01,+,0.01,*0.99
487,1:00,1:00,,*1,0
488,1:00,1:00,,*1,0
489,1:00,2:01,+,0.081,*0.919
490,1:00,1:00,,*1,0
491,1:00,1:00,,*1,0
492,1:00,1:00,,*1,0
493,1:00,1:00,,*1,0
494,1:00,1:00,,*1,0
495,1:00,1:00,,*1,0
496,1:00,1:00,,*0.992,0.008
497,1:00,1:00,,*1,0
498,1:00,2:01,+,0,*1
499,1:00,1:00,,*1,0
500,1:00,1:00,,*1,0
501,1:00,1:00,,*1,0
502,1:00,2:01,+,0.011,*0.989
503,1:00,1:00,,*1,0
504,1:00,1:00,,*1,0
505,1:00,1:00,,*0.99,0.01
506,1:00,1:00,,*1,0
507,1:00,2:01,+,0.014,*0.986
508,1:00,1:00,,*1,0
509,1:00,1:00,,*1,0
510,1:00,1:00,,*1,0
511,1:00,1:00,,*1,0
512,1:00,1:00,,*1,0
513,1:00,1:00,,*0.886,0.114
514,1:00,1:00,,*1,0
515,1:00,1:00,,*1,0
516,1:00,2:01,+,0.224,*0.776
517,1:00,1:00,,*1,0
518,1:00,1:00,,*1,0
519,1:00,1:00,,*0.96,0.04
520,1:00,1:00,,*1,0
521,1:00,2:01,+,0,*1
522,1:00,1:00,,*1,0
523,1:00,1:00,,*1,0
524,1:00,1:00,,*1,0
525,1:00,1:00,,*1,0
526,1:00,2:01,+,0,*1
527,1:00,1:00,,*1,0
528,1:00,1:00,,*1,0
529,1:00,1:00,,*1,0
530,1:00,1:00,,*1,0
531,1:00,1:00,,*1,0
532,1:00,1:00,,*1,0
533,1:00,1:00,,*1,0
534,1:00,1:00,,*1,0
535,1:00,1:00,,*1,0
536,1:00,1:00,,*1,0
537,1:00,1:00,,*0.993,0.007
538,1:00,1:00,,*0.9,0.1
539,1:00,1:00,,*1,0
540,1:00,1:00,,*1,0
541,1:00,1:00,,*1,0
542,1:00,1:00,,*1,0
543,1:00,1:00,,*1,0
544,1:00,1:00,,*1,0
545,1:00,2:01,+,0.288,*0.712
546,1:00,1:00,,*1,0
547,1:00,1:00,,*1,0
548,1:00,1:00,,*1,0
549,1:00,2:01,+,0.005,*0.995
550,1:00,1:00,,*1,0
551,1:00,1:00,,*1,0
552,1:00,1:00,,*1,0
553,1:00,1:00,,*1,0
554,1:00,1:00,,*1,0
555,1:00,1:00,,*1,0
556,1:00,1:00,,*1,0
557,1:00,1:00,,*1,0
558,1:00,1:00,,*1,0
559,1:00,1:00,,*1,0
560,1:00,1:00,,*1,0
561,1:00,2:01,+,0,*1
562,1:00,1:00,,*1,0
563,1:00,1:00,,*0.999,0.001
564,1:00,1:00,,*0.999,0.001
565,1:00,1:00,,*1,0
566,1:00,1:00,,*0.999,0.001
567,1:00,1:00,,*1,0
568,1:00,1:00,,*1,0
569,1:00,1:00,,*1,0
570,1:00,1:00,,*1,0
571,1:00,1:00,,*1,0
572,1:00,1:00,,*1,0
573,1:00,1:00,,*1,0
574,1:00,1:00,,*1,0
575,1:00,2:01,+,0.002,*0.998
576,1:00,2:01,+,0,*1
577,1:00,1:00,,*0.667,0.333
578,1:00,1:00,,*1,0
579,1:00,1:00,,*1,0
580,1:00,1:00,,*1,0
581,1:00,1:00,,*1,0
582,1:00,1:00,,*1,0
583,1:00,1:00,,*1,0
584,1:00,1:00,,*1,0
585,1:00,1:00,,*0.999,0.001
586,1:00,1:00,,*1,0
587,1:00,1:00,,*1,0
588,1:00,1:00,,*1,0
589,1:00,1:00,,*1,0
590,1:00,1:00,,*1,0
591,1:00,1:00,,*1,0
592,1:00,2:01,+,0,*1
593,1:00,1:00,,*1,0
594,1:00,1:00,,*1,0
595,1:00,1:00,,*1,0
596,1:00,1:00,,*1,0
597,1:00,1:00,,*1,0
598,1:00,1:00,,*1,0
599,1:00,1:00,,*1,0
600,1:00,1:00,,*1,0
601,1:00,1:00,,*1,0
602,1:00,1:00,,*1,0
603,1:00,1:00,,*1,0
604,1:00,1:00,,*1,0
605,1:00,1:00,,*1,0
606,1:00,1:00,,*1,0
607,1:00,1:00,,*1,0
608,1:00,1:00,,*1,0
609,1:00,1:00,,*1,0
610,1:00,1:00,,*1,0
611,1:00,1:00,,*1,0
612,1:00,1:00,,*1,0
613,1:00,2:01,+,0,*1
614,1:00,2:01,+,0,*1
615,1:00,2:01,+,0.039,*0.961
616,1:00,1:00,,*1,0
617,1:00,1:00,,*1,0
618,1:00,2:01,+,0.008,*0.992
619,1:00,1:00,,*1,0
620,1:00,1:00,,*1,0
621,1:00,1:00,,*1,0
622,1:00,1:00,,*1,0
623,1:00,1:00,,*1,0
624,1:00,1:00,,*1,0
625,1:00,1:00,,*1,0
626,1:00,1:00,,*1,0
627,1:00,1:00,,*1,0
628,1:00,1:00,,*1,0
629,1:00,1:00,,*1,0
630,1:00,1:00,,*1,0
631,1:00,1:00,,*1,0
632,1:00,1:00,,*1,0
633,1:00,1:00,,*0.995,0.005
634,1:00,1:00,,*1,0
635,1:00,1:00,,*1,0
636,1:00,1:00,,*1,0
637,1:00,1:00,,*1,0
638,1:00,2:01,+,0,*1
639,1:00,1:00,,*0.568,0.432
640,1:00,1:00,,*1,0
641,1:00,1:00,,*1,0
642,1:00,1:00,,*1,0
643,1:00,1:00,,*1,0
644,1:00,1:00,,*1,0
645,1:00,1:00,,*1,0
646,1:00,1:00,,*1,0
647,1:00,1:00,,*1,0
648,1:00,1:00,,*1,0
649,1:00,1:00,,*1,0
650,1:00,1:00,,*0.713,0.287
651,1:00,1:00,,*0.996,0.004
652,1:00,1:00,,*1,0
653,1:00,1:00,,*1,0
654,1:00,1:00,,*0.999,0.001
655,1:00,1:00,,*1,0
656,1:00,1:00,,*0.999,0.001
657,1:00,1:00,,*1,0
658,1:00,1:00,,*1,0
659,1:00,1:00,,*1,0
660,1:00,1:00,,*1,0
661,1:00,2:01,+,0.034,*0.966
662,1:00,1:00,,*1,0
663,1:00,1:00,,*1,0
664,1:00,1:00,,*0.999,0.001
665,1:00,1:00,,*1,0
666,1:00,1:00,,*1,0
667,1:00,1:00,,*1,0
668,1:00,1:00,,*1,0
669,1:00,1:00,,*0.868,0.132
670,1:00,1:00,,*0.938,0.062
671,1:00,2:01,+,0,*1
672,1:00,1:00,,*1,0
673,1:00,1:00,,*1,0
674,1:00,1:00,,*1,0
675,1:00,1:00,,*1,0
676,1:00,2:01,+,0,*1
677,1:00,1:00,,*1,0
678,1:00,1:00,,*1,0
679,1:00,1:00,,*1,0
680,1:00,1:00,,*1,0
681,1:00,1:00,,*1,0
682,1:00,1:00,,*1,0
683,1:00,2:01,+,0.013,*0.987
684,1:00,1:00,,*1,0
685,1:00,2:01,+,0,*1
686,1:00,1:00,,*1,0
687,2:01,2:01,,0,*1
688,1:00,1:00,,*1,0
689,1:00,1:00,,*1,0
690,1:00,1:00,,*1,0
691,1:00,1:00,,*1,0
692,1:00,1:00,,*1,0
693,1:00,1:00,,*1,0
694,1:00,1:00,,*1,0
695,1:00,1:00,,*1,0
696,1:00,1:00,,*1,0
697,1:00,1:00,,*1,0
698,1:00,1:00,,*1,0
699,1:00,1:00,,*1,0
700,1:00,1:00,,*1,0
701,1:00,2:01,+,0,*1
702,1:00,1:00,,*1,0
703,1:00,1:00,,*1,0
704,1:00,1:00,,*1,0
705,1:00,1:00,,*1,0
706,1:00,1:00,,*1,0
707,1:00,1:00,,*1,0
708,1:00,1:00,,*1,0
709,1:00,1:00,,*1,0
710,1:00,1:00,,*0.984,0.016
711,1:00,1:00,,*1,0
712,1:00,2:01,+,0.015,*0.985
713,1:00,1:00,,*1,0
714,1:00,1:00,,*1,0
715,1:00,1:00,,*1,0
716,1:00,1:00,,*1,0
717,1:00,1:00,,*1,0
718,1:00,1:00,,*1,0
719,1:00,1:00,,*1,0
720,1:00,1:00,,*1,0
721,1:00,1:00,,*1,0
722,1:00,1:00,,*1,0
723,1:00,2:01,+,0,*1
724,1:00,1:00,,*0.999,0.001
725,1:00,1:00,,*1,0
726,1:00,1:00,,*0.971,0.029
727,1:00,1:00,,*0.998,0.002
728,1:00,1:00,,*1,0
729,1:00,2:01,+,0,*1
730,1:00,1:00,,*1,0
731,1:00,1:00,,*1,0
732,1:00,1:00,,*1,0
733,1:00,1:00,,*1,0
734,1:00,1:00,,*1,0
735,1:00,2:01,+,0.034,*0.966
736,1:00,1:00,,*0.609,0.391
737,1:00,1:00,,*1,0
738,1:00,2:01,+,0,*1
739,1:00,1:00,,*1,0
740,1:00,1:00,,*0.925,0.075
741,1:00,1:00,,*1,0
742,1:00,1:00,,*1,0
743,1:00,1:00,,*1,0
744,1:00,1:00,,*1,0
745,1:00,1:00,,*1,0
746,1:00,1:00,,*1,0
747,1:00,2:01,+,0.006,*0.994
748,1:00,1:00,,*0.834,0.166
749,1:00,2:01,+,0.15,*0.85
750,1:00,1:00,,*1,0
751,1:00,1:00,,*1,0
752,1:00,2:01,+,0.482,*0.518
753,1:00,1:00,,*1,0
754,1:00,1:00,,*1,0
755,1:00,1:00,,*1,0
756,1:00,1:00,,*1,0
757,1:00,1:00,,*1,0
758,1:00,1:00,,*1,0
759,1:00,1:00,,*1,0
760,1:00,1:00,,*1,0
761,1:00,1:00,,*1,0
762,1:00,1:00,,*1,0
763,1:00,1:00,,*1,0
764,1:00,1:00,,*1,0
765,1:00,1:00,,*1,0
766,1:00,1:00,,*1,0
767,1:00,1:00,,*1,0
768,1:00,1:00,,*1,0
769,1:00,1:00,,*0.993,0.007
770,1:00,2:01,+,0,*1
771,1:00,1:00,,*1,0
772,1:00,1:00,,*1,0
773,1:00,2:01,+,0,*1
774,1:00,1:00,,*1,0
775,1:00,1:00,,*1,0
776,1:00,1:00,,*1,0
777,1:00,1:00,,*1,0
778,1:00,1:00,,*1,0
779,1:00,1:00,,*1,0
780,1:00,1:00,,*1,0
781,1:00,1:00,,*1,0
782,1:00,1:00,,*1,0
783,1:00,1:00,,*1,0
784,1:00,1:00,,*1,0
785,1:00,1:00,,*1,0
786,1:00,1:00,,*1,0
787,1:00,1:00,,*1,0
788,1:00,1:00,,*1,0
789,1:00,2:01,+,0.178,*0.822
790,1:00,1:00,,*1,0
791,1:00,1:00,,*1,0
792,1:00,1:00,,*1,0
793,1:00,1:00,,*1,0
794,1:00,1:00,,*1,0
795,1:00,1:00,,*1,0
796,1:00,1:00,,*1,0
797,1:00,1:00,,*1,0
798,1:00,1:00,,*1,0
799,1:00,1:00,,*1,0
800,1:00,1:00,,*1,0
801,1:00,1:00,,*1,0
802,1:00,1:00,,*1,0
803,1:00,1:00,,*1,0
804,1:00,1:00,,*1,0
805,1:00,1:00,,*1,0
806,1:00,2:01,+,0.301,*0.699
807,1:00,1:00,,*1,0
808,1:00,1:00,,*1,0
809,1:00,2:01,+,0.246,*0.754
810,1:00,1:00,,*1,0
811,1:00,1:00,,*1,0
812,1:00,1:00,,*0.974,0.026
813,1:00,1:00,,*0.982,0.018
814,1:00,1:00,,*1,0
815,1:00,1:00,,*1,0
816,1:00,1:00,,*1,0
817,1:00,1:00,,*1,0
818,1:00,1:00,,*0.951,0.049
819,1:00,1:00,,*1,0
820,1:00,1:00,,*1,0
821,1:00,1:00,,*1,0
822,1:00,1:00,,*1,0
823,1:00,1:00,,*1,0
824,1:00,1:00,,*1,0
825,1:00,1:00,,*0.914,0.086
826,1:00,1:00,,*0.976,0.024
827,1:00,1:00,,*0.999,0.001
828,1:00,1:00,,*1,0
829,1:00,1:00,,*1,0
830,1:00,1:00,,*1,0
831,2:01,1:00,+,*1,0
832,1:00,2:01,+,0,*1
833,1:00,1:00,,*1,0
834,1:00,1:00,,*1,0
835,1:00,1:00,,*1,0
836,1:00,1:00,,*0.999,0.001
837,1:00,1:00,,*1,0
838,1:00,1:00,,*1,0
