IRI_KEY,FIPS,NAME,State_Name,REGION,DIVISION,Zip_name,Good_Bad,Zip_key,Zip_lon,Zip_lat,Share_Camp,Share_Other,Share_PL,Share_prog,per_kids18,per_kids9,per_old,per_white,per_black,hhsize,Per_college,per_hh_less20K,median_inc,capita_inc
930976,24031.00,Montgomery County,Maryland,3.00,5.00,20852 Rockville,Bad,20852,-77.13,39.05,0.563024112,0.045926055,0.143231272,0.247818561,0.18,0.10,0.17,0.73,0.05,2.17,0.57,0.12,69097.00,42643.00
930982,48201.00,Harris County,Texas,3.00,7.00,77339 Kingwood,Bad,77339,-95.22,30.05,0.529501618,0.085830698,0.120308584,0.264359099,0.28,0.14,0.08,0.92,0.02,2.71,0.36,0.08,69242.00,31115.00
931120,24005.00,Baltimore County,Maryland,3.00,5.00,21221 Essex,Bad,21221,-76.44,39.30,0.578895291,0.032435837,0.168574005,0.220094867,0.26,0.14,0.13,0.76,0.20,2.45,0.08,0.26,35688.00,17890.00
931140,42029.00,Chester County,Pennsylvania,1.00,2.00,19348 Kennett Square,Good,19348,-75.72,39.87,0.429473189,0.096342966,0.069895795,0.40428805,0.27,0.14,0.15,0.87,0.05,2.70,0.44,0.10,67332.00,33300.00
931371,6067.00,Sacramento County,California,4.00,9.00,95630 Folsom,Bad,95630,-121.14,38.67,0.444111676,0.129392823,0.126803464,0.299692036,0.24,0.14,0.09,0.78,0.06,2.61,0.38,0.09,73240.00,30184.00
931480,24005.00,Baltimore County,Maryland,3.00,5.00,21244 Windsor Mill,Good,21244,-76.78,39.33,0.487643364,0.056761019,0.069429351,0.386166266,0.28,0.17,0.07,0.19,0.73,2.52,0.27,0.14,44359.00,20489.00
931558,48157.00,Fort Bend County,Texas,3.00,7.00,77450 Katy,Bad,77450,-95.74,29.74,0.616746293,0.088522035,0.14726181,0.147469863,0.34,0.17,0.04,0.86,0.03,3.09,0.42,0.05,83078.00,31896.00
931812,48251.00,Johnson County,Texas,3.00,7.00,76033 Cleburne,Bad,76033,-97.52,32.29,0.629385638,0.023546248,0.192324373,0.154743741,0.25,0.14,0.12,0.78,0.11,2.57,0.27,0.18,50192.43,24588.18
931863,37183.00,Wake County,North Carolina,3.00,5.00,27613 Raleigh,Good,27613,-78.71,35.92,0.460459372,0.107468733,0.090006974,0.342064922,0.26,0.14,0.04,0.85,0.08,2.49,0.57,0.07,71066.00,34479.00
932177,6071.00,San Bernardino County,California,4.00,9.00,91730 Rancho Cucamonga,Bad,91730,-117.58,34.10,0.572732655,0.120592016,0.09088689,0.215788439,0.28,0.16,0.06,0.59,0.10,2.91,0.17,0.14,50047.00,19871.00
932201,17031.00,Cook County,Illinois,2.00,3.00,60443 Matteson,Bad,60443,-87.75,41.50,0.553426326,0.071199323,0.190622813,0.184751538,0.26,0.13,0.13,0.41,0.55,2.70,0.23,0.13,55367.00,24770.00
932209,33009.00,Grafton County,New Hampshire,1.00,1.00,03561 Littleton,Good,3561,-71.79,44.33,0.405149906,0.141962236,0.108125237,0.344762621,0.25,0.12,0.14,0.97,0.00,2.31,0.21,0.29,35887.00,18803.00
932399,45019.00,Charleston County,South Carolina,3.00,5.00,29464 Mount Pleasant,Good,29464,-79.85,32.82,0.481937887,0.080990045,0.132309715,0.304762352,0.24,0.13,0.12,0.88,0.10,2.41,0.46,0.12,57014.00,29223.00
932413,34025.00,Monmouth County,New Jersey,1.00,2.00,07726 Englishtown,Good,7726,-74.34,40.28,0.334469037,0.169827543,0.175183736,0.320519684,0.30,0.16,0.12,0.91,0.02,3.06,0.33,0.11,81806.00,31880.00
932421,47163.00,Sullivan County,Tennessee,3.00,6.00,37617 Blountville,Bad,37617,-82.37,36.53,0.650934989,0.029795978,0.246950939,0.072318094,0.22,0.12,0.13,0.98,0.01,2.50,0.15,0.22,39150.00,18608.00
932539,51013.00,Arlington County,Virginia,3.00,5.00,22202 Arlington,Good,22202,-77.05,38.86,0.315832268,0.195690225,0.102399384,0.386078124,0.07,0.04,0.14,0.75,0.07,1.67,0.64,0.12,65015.00,46538.00
932561,39095.00,Lucas County,Ohio,2.00,3.00,43613 Toledo,Bad,43613,-83.60,41.71,0.66115162,0.028117797,0.133707473,0.177023109,0.25,0.14,0.14,0.92,0.04,2.35,0.18,0.21,39681.00,20370.00
932600,26025.00,Calhoun County,Michigan,2.00,3.00,49014 Battle Creek,Bad,49014,-85.11,42.31,0.658707066,0.036379974,0.166880261,0.138032698,0.26,0.14,0.11,0.86,0.09,2.54,0.13,0.23,38569.00,19339.00
932841,17111.00,McHenry County,Illinois,2.00,3.00,60102 Algonquin,Bad,60102,-88.31,42.16,0.576499167,0.053267101,0.13693252,0.233301212,0.33,0.21,0.05,0.93,0.01,2.99,0.32,0.04,75542.00,28297.00
932877,45025.00,Chesterfield County,South Carolina,3.00,5.00,29520 Cheraw,Bad,29520,-79.92,34.66,0.576320456,0.013272422,0.376579822,0.0338273,0.27,0.14,0.13,0.54,0.44,2.48,0.15,0.35,30266.00,14836.00
933194,6037.00,Los Angeles County,California,4.00,9.00,90024 Los Angeles,Bad,90024,-118.44,34.07,0.285222442,0.327536292,0.115009043,0.272232224,0.07,0.04,0.12,0.64,0.02,1.97,0.58,0.29,47573.00,39970.00
933195,4013.00,Maricopa County,Arizona,4.00,8.00,85381 Peoria,Bad,85381,-112.23,33.61,0.481353427,0.064169511,0.215987486,0.238489577,0.30,0.14,0.11,0.89,0.02,2.94,0.27,0.09,67401.00,26469.00
933335,48339.00,Montgomery County,Texas,3.00,7.00,77378 Willis,Bad,77378,-95.39,30.46,0.597261433,0.051746706,0.2669959,0.083995961,0.32,0.18,0.08,0.77,0.11,3.00,0.09,0.25,35655.00,14136.00
933690,25021.00,Norfolk County,Massachusetts,1.00,1.00,02169 Quincy,Good,2169,-71.02,42.24,0.332546078,0.115481134,0.117086013,0.434886776,0.18,0.10,0.17,0.83,0.03,2.16,0.28,0.20,45056.00,25581.00
933721,37035.00,Catawba County,North Carolina,3.00,5.00,28610 Claremont,Bad,28610,-81.14,35.73,0.66141041,0.021275552,0.191219178,0.12609486,0.26,0.14,0.09,0.90,0.06,2.62,0.11,0.16,41936.00,17845.00
933726,37081.00,Guilford County,North Carolina,3.00,5.00,27282 Jamestown,Bad,27282,-79.93,36.00,0.604627524,0.057869402,0.120092375,0.217410698,0.26,0.14,0.10,0.84,0.11,2.57,0.42,0.10,66956.00,30978.00
933732,36051.00,Livingston County,New York,1.00,2.00,14437 Dansville,Bad,14437,-77.73,42.57,0.503243249,0.065124728,0.195781701,0.235850322,0.21,0.11,0.12,0.85,0.11,2.56,0.12,0.26,37118.00,15412.00
933808,48201.00,Harris County,Texas,3.00,7.00,77077 Houston,Bad,77077,-95.61,29.75,0.462748606,0.131750927,0.240293646,0.165206821,0.21,0.14,0.08,0.74,0.09,2.10,0.44,0.11,52667.00,34204.00
933864,34023.00,Middlesex County,New Jersey,1.00,2.00,08820 Edison,Good,8820,-74.37,40.58,0.331583802,0.114485204,0.067110578,0.486820415,0.24,0.13,0.11,0.54,0.05,2.92,0.44,0.10,85927.00,35224.00
933870,48121.00,Denton County,Texas,3.00,7.00,75022 Flower Mound,Bad,75022,-97.12,33.03,0.557204845,0.082224326,0.107668657,0.252902172,0.34,0.20,0.03,0.92,0.02,3.12,0.52,0.04,109351.00,41215.00
933891,47009.00,Blount County,Tennessee,3.00,6.00,37801 Maryville,Bad,37801,-84.08,35.67,0.564027424,0.077115936,0.219182269,0.139674372,0.24,0.13,0.13,0.95,0.02,2.44,0.10,0.28,32482.00,17407.00
934038,48439.00,Tarrant County,Texas,3.00,7.00,76063 Mansfield,Bad,76063,-97.14,32.57,0.563034757,0.073747874,0.107410655,0.255806714,0.31,0.17,0.06,0.86,0.05,3.07,0.28,0.09,64630.00,25765.00
934088,13135.00,Gwinnett County,Georgia,3.00,5.00,30019 Dacula,Bad,30019,-83.88,33.98,0.637121282,0.03604424,0.087593968,0.23924051,0.31,0.18,0.06,0.92,0.05,2.99,0.27,0.06,69205.00,26507.00
934185,6075.00,San Francisco County,California,4.00,9.00,94132 San Francisco,Good,94132,-122.50,37.72,0.409541603,0.172018125,0.110514661,0.307925611,0.16,0.08,0.16,0.42,0.12,2.51,0.43,0.16,55000.00,27903.00
934189,42029.00,Chester County,Pennsylvania,1.00,2.00,19372 Thorndale,Bad,19372,-75.76,40.00,0.528019343,0.04510421,0.147684739,0.279191708,0.25,0.16,0.10,0.83,0.09,2.58,0.35,0.03,63958.00,29256.00
